store_id,store_name,product_id,product_name,product_qty_sold,percentage_contribution_to_store_qty
1,"Central Square",48,"Luxe Sports Item 48",69,0.80
1,"Central Square",287,"UrbanX Home Item 287",62,0.72
1,"Central Square",177,"UrbanX Beauty Item 177",60,0.70
1,"Central Square",43,"UrbanX Home Item 43",56,0.65
1,"Central Square",272,"Zenon Beauty Item 272",55,0.64
1,"Central Square",191,"Acme Fashion Item 191",54,0.63
1,"Central Square",209,"Acme Sports Item 209",54,0.63
1,"Central Square",148,"Pulse Sports Item 148",51,0.59
1,"Central Square",132,"Nova Books Item 132",49,0.57
1,"Central Square",149,"EcoWare Books Item 149",49,0.57
1,"Central Square",55,"Luxe Beauty Item 55",48,0.56
1,"Central Square",122,"Zenon Grocery Item 122",47,0.55
1,"Central Square",193,"Acme Grocery Item 193",47,0.55
1,"Central Square",279,"EcoWare Toys Item 279",46,0.54
1,"Central Square",172,"Luxe Sports Item 172",46,0.54
1,"Central Square",154,"EcoWare Books Item 154",45,0.52
1,"Central Square",109,"Acme Electronics Item 109",45,0.52
1,"Central Square",277,"Zenon Grocery Item 277",45,0.52
1,"Central Square",197,"PlayOn Grocery Item 197",44,0.51
1,"Central Square",22,"Crafto Grocery Item 22",44,0.51
1,"Central Square",273,"Pulse Sports Item 273",44,0.51
1,"Central Square",115,"PlayOn Books Item 115",44,0.51
1,"Central Square",255,"Zenon Fashion Item 255",44,0.51
1,"Central Square",52,"Luxe Fashion Item 52",43,0.50
1,"Central Square",87,"Nova Electronics Item 87",43,0.50
1,"Central Square",34,"EcoWare Fashion Item 34",42,0.49
1,"Central Square",33,"Nova Electronics Item 33",42,0.49
1,"Central Square",107,"Freshly Home Item 107",42,0.49
1,"Central Square",105,"Acme Toys Item 105",42,0.49
1,"Central Square",160,"PlayOn Books Item 160",42,0.49
1,"Central Square",219,"Luxe Toys Item 219",41,0.48
1,"Central Square",203,"PlayOn Grocery Item 203",41,0.48
1,"Central Square",120,"Acme Fashion Item 120",41,0.48
1,"Central Square",133,"Pulse Home Item 133",41,0.48
1,"Central Square",201,"Zenon Sports Item 201",41,0.48
1,"Central Square",223,"Freshly Beauty Item 223",40,0.47
1,"Central Square",102,"Nova Toys Item 102",40,0.47
1,"Central Square",96,"Luxe Toys Item 96",40,0.47
1,"Central Square",213,"UrbanX Grocery Item 213",40,0.47
1,"Central Square",90,"Pulse Fashion Item 90",40,0.47
1,"Central Square",29,"Acme Books Item 29",40,0.47
1,"Central Square",36,"Pulse Grocery Item 36",39,0.45
1,"Central Square",97,"Luxe Toys Item 97",39,0.45
1,"Central Square",139,"Crafto Sports Item 139",39,0.45
1,"Central Square",35,"Luxe Home Item 35",39,0.45
1,"Central Square",162,"EcoWare Books Item 162",39,0.45
1,"Central Square",176,"Pulse Fashion Item 176",39,0.45
1,"Central Square",110,"PlayOn Toys Item 110",39,0.45
1,"Central Square",215,"Luxe Home Item 215",38,0.44
1,"Central Square",285,"Pulse Home Item 285",38,0.44
1,"Central Square",265,"Pulse Home Item 265",38,0.44
1,"Central Square",243,"Freshly Fashion Item 243",38,0.44
1,"Central Square",81,"Acme Electronics Item 81",38,0.44
1,"Central Square",18,"Nova Books Item 18",38,0.44
1,"Central Square",168,"EcoWare Sports Item 168",38,0.44
1,"Central Square",17,"PlayOn Home Item 17",37,0.43
